ID,SID,Gender,Vowel,Condition,Rating
1,f1,female,o,harmonic,-21
1,m4,male,o,harmonic,-28
1,f5,female,a,harmonic,-21
1,f4,female,i,harmonic,-20
1,f8,female,o,harmonic,-23
1,m1,male,i,harmonic,-16
1,m1,male,o,harmonic,-34
1,f1,female,a,harmonic,-10
1,f8,female,i,harmonic,-26
1,m8,male,o,harmonic,-8
1,f6,female,i,harmonic,-14
1,m4,male,i,harmonic,-33
1,f1,female,i,harmonic,-30
1,m1,male,a,harmonic,-13
1,m4,male,a,harmonic,-24
1,m5,male,i,harmonic,-28
1,f5,female,o,harmonic,-26
1,m2,male,i,harmonic,0
1,m5,male,o,harmonic,-10
1,f5,female,i,harmonic,-5
1,m8,male,a,harmonic,-28
1,f6,female,a,harmonic,-27
1,f4,female,a,harmonic,-40
1,f4,female,o,harmonic,-54
1,m2,male,o,harmonic,-15
1,f6,female,o,harmonic,-16
1,m5,male,a,harmonic,-16
1,m2,male,a,harmonic,-13
1,m8,male,i,harmonic,-18
1,f8,female,a,harmonic,-15
2,f5,female,o,harmonic,5
2,f1,female,a,harmonic,-22
2,f6,female,i,harmonic,-55
2,m5,male,o,harmonic,0
2,m8,male,i,harmonic,-49
2,m4,male,a,harmonic,-42
2,f5,female,a,harmonic,22
2,m2,male,a,harmonic,0
2,m1,male,o,harmonic,33
2,f1,female,i,harmonic,-24
2,m4,male,o,harmonic,-78
2,f6,female,a,harmonic,-20
2,f5,female,i,harmonic,0
2,f8,female,i,harmonic,0
2,m5,male,i,harmonic,59
2,m8,male,o,harmonic,5
2,m5,male,a,harmonic,0
2,f4,female,a,harmonic,-16
2,m1,male,a,harmonic,25
2,m2,male,i,harmonic,0
2,f6,female,o,harmonic,8
2,m8,male,a,harmonic,-9
2,m4,male,i,harmonic,-11
2,f4,female,i,harmonic,58
2,f4,female,o,harmonic,22
2,f8,female,o,harmonic,0
2,f8,female,a,harmonic,26
2,f1,female,o,harmonic,14
2,m1,male,i,harmonic,-4
2,m2,male,o,harmonic,-4
3,f6,female,o,harmonic,-21
3,m8,male,a,harmonic,-42
3,f6,female,i,harmonic,0
3,m4,male,a,harmonic,-53
3,f8,female,a,harmonic,-28
3,f1,female,i,harmonic,-43
3,f8,female,i,harmonic,-15
3,f5,female,o,harmonic,27
3,m2,male,i,harmonic,43
3,f1,female,o,harmonic,-39
