ID,SID,Gender,Vowel,Condition,Rating
1,f1,female,o,synthesized,53
1,f1,female,o,estimated,51
1,f1,female,o,anchor,31
1,f1,female,o,reference,100
1,f1,female,o,harmonic,79
1,m4,male,o,anchor,24
1,m4,male,o,estimated,34
1,m4,male,o,harmonic,72
1,m4,male,o,reference,100
1,m4,male,o,synthesized,43
1,f5,female,a,harmonic,79
1,f5,female,a,anchor,23
1,f5,female,a,synthesized,35
1,f5,female,a,estimated,51
1,f5,female,a,reference,100
1,f4,female,i,anchor,10
1,f4,female,i,estimated,41
1,f4,female,i,synthesized,63
1,f4,female,i,reference,100
1,f4,female,i,harmonic,80
1,f8,female,o,harmonic,77
1,f8,female,o,anchor,19
1,f8,female,o,estimated,38
1,f8,female,o,synthesized,47
1,f8,female,o,reference,100
1,m1,male,i,synthesized,62
1,m1,male,i,estimated,55
1,m1,male,i,harmonic,84
1,m1,male,i,anchor,37
1,m1,male,i,reference,100
1,m1,male,o,harmonic,66
1,m1,male,o,reference,100
1,m1,male,o,synthesized,29
1,m1,male,o,estimated,67
1,m1,male,o,anchor,32
1,f1,female,a,synthesized,73
1,f1,female,a,reference,100
1,f1,female,a,anchor,23
1,f1,female,a,estimated,81
1,f1,female,a,harmonic,90
1,f8,female,i,reference,100
1,f8,female,i,estimated,22
1,f8,female,i,harmonic,74
1,f8,female,i,synthesized,32
1,f8,female,i,anchor,17
1,m8,male,o,estimated,60
1,m8,male,o,synthesized,44
1,m8,male,o,harmonic,92
1,m8,male,o,reference,100
1,m8,male,o,anchor,19
1,f6,female,i,synthesized,64
1,f6,female,i,estimated,56
1,f6,female,i,harmonic,86
1,f6,female,i,anchor,12
1,f6,female,i,reference,100
1,m4,male,i,estimated,18
1,m4,male,i,anchor,20
1,m4,male,i,reference,100
1,m4,male,i,harmonic,67
1,m4,male,i,synthesized,29
1,f1,female,i,estimated,83
1,f1,female,i,anchor,18
1,f1,female,i,harmonic,70
1,f1,female,i,synthesized,58
1,f1,female,i,reference,100
1,m1,male,a,anchor,33
1,m1,male,a,estimated,20
1,m1,male,a,harmonic,87
1,m1,male,a,synthesized,23
1,m1,male,a,reference,100
1,m4,male,a,estimated,40
1,m4,male,a,anchor,19
1,m4,male,a,reference,100
1,m4,male,a,harmonic,76
1,m4,male,a,synthesized,35
1,m5,male,i,reference,100
1,m5,male,i,harmonic,72
1,m5,male,i,anchor,27
1,m5,male,i,synthesized,37
1,m5,male,i,estimated,44
