ID,SID,Vowel,Gender,Roughness,Breathiness,Brightness,Naturalness
1,f1,i,female,-1,-2,-2,-2
1,m5,a,male,-3,-2,-2,-3
1,m1,o,male,-3,-3,-2,-3
1,m2,a,male,-2,-1,-1,-2
1,m1,i,male,-3,-1,-2,-2
1,m5,i,male,-3,-2,-2,-3
1,m8,a,male,-1,-1,-1,-1
1,f8,o,female,-1,-1,-2,-2
1,f5,o,female,0,-1,-1,-1
1,m8,o,male,-2,-1,-1,-1
1,f6,i,female,-1,-2,-1,-1
1,f4,i,female,-1,-2,-1,-1
1,f8,i,female,-2,-1,-2,-1
1,f5,i,female,0,0,-1,0
1,m1,a,male,-3,-1,-3,-3
1,f6,o,female,0,-3,-1,-1
1,f1,o,female,-1,-3,-3,-3
1,f4,a,female,-2,-3,-2,-2
1,m4,o,male,-4,-1,-2,-3
1,f8,a,female,-2,-2,-1,-2
1,f6,a,female,0,-3,-1,-1
1,m2,i,male,-3,-1,-1,-2
1,f1,a,female,-1,-3,-2,-2
1,m5,o,male,-3,-1,-2,-2
1,m8,i,male,-3,-1,-1,-1
1,f5,a,female,-1,-2,-3,-1
1,m4,a,male,-3,-1,-1,-1
1,m4,i,male,-3,-3,-2,-3
1,f4,o,female,-1,-2,-2,-2
1,m2,o,male,-4,-1,-2,-3
2,f8,i,female,3,-3,-2,-3
2,m8,a,male,3,-2,-3,-3
2,m4,o,male,3,-1,-2,-3
2,m2,o,male,2,-2,-3,-4
2,m4,i,male,2,-2,-2,-3
2,f6,a,female,1,-2,-3,-2
2,m2,a,male,3,-2,-2,-2
2,f6,o,female,1,-2,-3,-1
2,m5,i,male,1,-1,-2,-3
2,m8,o,male,1,-1,-3,-1
2,f1,a,female,1,-2,-3,-2
2,m5,o,male,1,-1,-3,-2
2,m2,i,male,1,-2,-2,-3
2,f6,i,female,1,-2,-3,-2
2,f8,o,female,1,-1,-3,-2
2,f4,o,female,1,-1,-3,-2
2,f4,a,female,1,-2,-3,-2
2,m8,i,male,1,-1,-3,-3
2,f5,i,female,1,-1,-2,-2
2,m1,i,male,1,-2,-3,-1
2,f4,i,female,1,-1,-3,-2
2,f8,a,female,1,-2,-3,-3
2,m1,o,male,1,-1,-3,-2
2,f1,i,female,1,-1,-3,-2
2,m4,a,male,2,-1,-3,-2
2,m1,a,male,2,-1,-2,-3
2,f5,a,female,2,-2,-3,-2
2,f5,o,female,0,-1,-3,-2
2,m5,a,male,1,-2,-3,-2
2,f1,o,female,2,-1,-3,-1
3,m8,o,male,-3,2,-2,-2
3,f4,i,female,-2,-1,1,-3
3,m1,a,male,1,4,-3,-4
